kanji,english,explanation,primitive
機,mechanism,Tree . . . abacus.,
畿,capital suburbs,Two cocoons . . . field . . . fiesta.,
玄,mysterious,Top hat . . . cocoon.,
畜,livestock,Mysterious . . . rice field.,
蓄,amass,Flowers . . . livestock.,
弦,bowstring,Bow . . . mysterious.,
擁,hug,"_Fingers_ . . . _mysterious_ . . . _turkey_. Note that the _top hat_ is extended across both elements, though it belongs only to the _cocoon_. This means that you may either use _mysterious_  \- as we did here - or take the three elements separately.",
滋,nourishing,"_Water_ . . . double- _mysterious_. Note the doubling up of the element for _top hat_ in the primitive for _mysterious_ and assign it a special image, as it will come up in the next two frames.",
慈,mercy,Double- _mysterious_ . . . _heart_.,
磁,magnet,_Stone_ . . . double- _mysterious_.,
系,lineage,"The single stroke added to the beginning of the primitive for _thread_ gives the image of threads woven into a single cord. Hence the meaning, **lineage**.","* As a primitive, we shall give this kanji the meaning of _yarn_ , as the uniting of many threads into a single strand is most obvious with _yarn_."
係,person in charge,Person . . . yarn.,
孫,grandchild,Child . . . yarn.,
懸,suspend,Prefecture . . . yarn . . . heart.,
遜,modest,Grandchild . . . road.,
却,instead,Gone . . . stamp.,
脚,shins,"_Part of the body_ . . . _instead_. This character has more or less the same meaning as that for _leg_ learned back in frame 1372. It can also indicate the part of the legs from the **shins** down, which explains the choice of the key word.",
卸,wholesale,"The left primitive is a union of _a horse_ and _footprint_. To the right, the _stamp_.",
御,honorable,Line . . . wholesale.,
服,clothing,_Flesh_ . . . _stamp_ . . . _crotch_. Note how the _stamp_ is stretched out here.,
命,fate,"This character connotes life in general, but also the particular life that is **fated** one by virtue of the distinctive character with which one is born. Its elements are: _fit_ . . . _stamp_. The bottom portion of _fit_ is nudged to the left in order to make room for the _stamp_.",
令,orders,Meeting . . . chop-seal.,
零,zero,Rain . . . orders.,
齢,age,This character is used to express the years of one's **age**. Its elements: _teeth_ . . . _orders_.,
冷,cool,Ice . . . orders.,
領,jurisdiction,Orders . . . head.,
鈴,small bell,Gold . . . orders.,
勇,courage,Chop-seal . . . man.,
湧,bubble up,Water . . . courage.,
通,traffic,"_Chop-seal_ . . . _utilize_ . . . _road_. By combining the first two primitives into a single image, you will be able to use that image in a few instances later, one of which comes immediately.",
踊,jump,Wooden leg . . . chop-seal . . . utilize.,
疑,doubt,Spoon . . . dart . . . chop-seal . . . zoo.,
擬,mimic,Fingers . . . doubt.,
凝,congeal,Ice . . . doubt.,
範,pattern,Bamboo . . . car . . . fingerprint.,
犯,crime,Wild dogs . . . fingerprint.,
氾,widespread,Water . . . fingerprint.,
厄,unlucky,Cliff . . . fingerprint.,
危,dangerous,Bound up . . . unlucky.,
宛,address,House . . . mailbox.,
腕,arm,Part of the body . . . address.,
苑,garden,Flowers . . . mailbox.,
怨,grudge,Mailbox . . . heart.,
柳,willow,Tree . . . receipt . . . stamp.,
卵,egg,_Receipt_ . . . _stamp_ . . . and _a drop_ in each side to represent a little smear of **egg** yoke. The third stroke is drawn slightly higher to close the **egg** up tightly and keep the yoke inside.,
留,detain,Receipt . . . dagger . . . rice field.,
瑠,marine blue,Jewel . . . detain.,
貿,trade,"_Receipt_ . . . _dagger_ . . . _shells_. Though the meanings are related, do not confuse with _make a deal_ (Frame 471) or _wholesale_ (Frame 1499).",
印,stamp,At last we come to the general character meaning **stamp**. Its elements: _staples_ . . . _stamp_.,
臼,mortar,The image here is of _back-to-back staples_. The **mortar** referred to in this key word is a stone or wooden basin used for grinding with a pestle.,
毀,break,Mortar . . . soil . . . missile.,
興,entertain,_Mortar_ . . . _same_ . . . _tool_. Be careful to make an image that keeps _same_ in the middle.,
酉,sign of the bird,"Though we shall later encounter the kanji for _bird_ , we introduce this one for the tenth sign of the zodiac mainly because of its use as a primitive, where it has a different meaning.","* As a primitive, it means _whiskey bottle_. In its pictograph, you can see the loosely corked lid, the bottle and the contents (about one-third full). You might also think of the Spanish  ""porrón,"" a decanter shaped like a long-necked bird."
酒,saké,Water . . . whiskey bottle.,
酌,bartending,Whiskey bottle . . . ladle.,
酎,hooch,"This kanji is used for thick, low-grade saké made from various kinds of grains. Its primitives are: _whisky bottle_ . . . _glue_.",
酵,fermentation,Whiskey bottle . . . filial piety.,
酷,cruel,Whiskey bottle . . . revelation.,
酬,repay,Whiskey bottle . . . state.,
酪,dairy products,Whiskey bottle . . . each.,
酢,vinegar,Whiskey bottle . . . saw.,
酔,drunk,Whiskey bottle . . . baseball . . . needle.,
配,distribute,Whisky bottle . . . snake.,
酸,acid,Whiskey bottle . . . license . . . walking legs.,
猶,waver,Wild dogs . . . animal horns . . . whiskey bottle.,
尊,revered,Animal horns . . . whiskey bottle . . . glue.,
豆,beans,"This kanji depicts a pot of **beans** , although it looks more like a table on which the pot is resting.","* As a primitive, this kanji will mean _table_."
頭,head,Here we meet at last the full kanji on which the primitive for **head** is based. The elements: _table_ . . . _head_.,
短,short,Dart . . . table.,
豊,bountiful,"Bend . . . table. Think of a **bountiful** harvest, and you will not be far from the meaning of this character.",
鼓,drum,"The full kanji for the _drum_ adds a _branch_ , apparently to serve as a **drum** stick, to the primitive for _drum_.",
喜,rejoice,Drum . . . mouth.,
樹,timber-trees,Trees . . . drum . . . glue.,
皿,dish,"The kanji for a **dish** is, clearly, the pictograph of a painted or carved bowl, seen from the side.",
血,blood,The _drop_ in the _dish_ is **blood**. It is similar to the _drop_ we saw earlier on the _dagger_ in the character for _blade_ (Frame 88).,
盆,basin,Part . . . dish.,
盟,alliance,Bright . . . dish.,
盗,steal,Next . . . dish.,
温,warm,Water . . . sun . . . dish.,
蓋,lid,Flowers . . . gone . . . dish.,
監,oversee,Slaves . . . reclining . . . floor/one . . . dish.,
濫,overflow,Water . . . oversee.,
鑑,specimen,Metal . . . oversee.,
藍,indigo,Flowers . . . oversee.,
猛,fierce,Wild dogs . . . child . . . dish.,
盛,boom,Here **boom** refers to something that is popular and prospering. Its elements: _turn into_ . . . _dish_.,
塩,salt,Ground . . . reclining . . . mouth . . . dish.,
銀,silver,Metal . . . silver.,
恨,resentment,State of mind . . . silver.,
根,root,Tree . . . silver.,
即,instant,Silver . . . stamp.,
爵,baron,Vulture . . . eye . . . silver . . . glue.,
節,node,Bamboo . . . instant.,
退,retreat,Road . . . silver.,
限,limit,Pinnacle . . . silver.,
眼,eyeball,Eye . . . silver.,
良,good,Drop of . . . silver.,"* As a primitive, use the image of a saint's _halo_. As with _silver_ , when this element is drawn on the left, the penultimate stroke is omitted."
朗,melodious,Halo . . . moon.,
浪,wandering,Water . . . halo.,
娘,daughter,Woman . . . halo.,
食,eat,"If _halo_ and _umbrella_ aren't enough, break the _halo_ down into _drop_ and _silver_ \- or  ""silverware,"" an additional primitive.","* As a primitive, this kanji can mean either _eating_ or _food_. As with _silver_ , on the left the final two strokes of this element are combined into one."
飯,meal,Food . . . anti-.,
飲,drink,Food . . . yawn.,
飢,hungry,Food . . . wind.,
餓,starve,Food . . . ego.,
飾,decorate,Food . . . reclining . . . towel.,
餌,feed,_Food_ . . . _ear_. The sense of the key word here is that of bait or **feed** for animals.,
館,Bldg.,"The abbreviation of **Building** suggests that this kanji is used in proper names, as indeed it often is. Keep your connotation distinct from _Inst._ (Frame 1401) when working with the elements: _food_ . . . _bureaucrat_.",
餅,mochi,_Mochi_ is the glutinous rice the Japanese pound into cakes. Its primitives are: _food_ . . . _puzzle_.,
養,foster,"_Sheep_ . . . _food_. The key word has the sense of promoting the development of something, especially in a psychological or spiritual sense.",
飽,sated,Eat . . . wrap.,
既,previously,_Silver_ . . . _waitress_. Do not confuse this kanji's key word with _before_ (Frame 263).,
概,outline,_Roots_ . . . _waitress_. Note that the kanji meaning of the two primitives to the right is not used here because we shall later meet a primitive meaning _beforehand_ and want to preempt any confusion. The same holds true in the following frame.,
慨,rue,Resentment . . . waitress.,
平,even,"This character is easiest remembered as a pictograph of a water lily floating on the surface of the water, which gives it its meaning of **even**. The fourth stroke represents the calm, smooth surface of a pond, and the final stroke the long stem of the plant reaching underwater.","* As a primitive, this kanji can keep its pictographic meaning of a _water lily_."
呼,call,"_Mouth_ . . . _water lily_. Note: this is the one time that the  ""stem"" has a barb at the end. Work this fact into your story.",
坪,two-mat area,"This kanji belongs to an old Japanese system of measurement and indicates an area of about 36 square feet, or the **area** taken up by **two** tatami **mats**. Its elements: _ground_ . . . _water lily_.",
評,evaluate,Words . . . water lily.,
刈,reap,Sheaf . . . saber.,
刹,moment,"The key word here is the noun meaning ""a breif moment."" Its elements: _sheaf_ . . . _tree_ . . . _saber_.",
希,hope,Sheaf . . . linen.,
凶,villain,Sheaf . . . shovel.,
胸,bosom,Part of the body . . . bound up . . . villain.,
離,detach,"_Top hat_ . . . _villain_ . . . _belt_ . . . _elbow_ . . . _turkey_. This is potentially one of the most difficult characters to remember. Tackle it positively and let the image  ""sink in"" by carrying it around with you today and calling it up in your spare moments.",
璃,crystal,This kanji refers to one of the seven classical stones of China. Its elements: _jewel_ . . . _top hat_ . . . _villain_ . . . _belt_ . . . _elbow_.,
殺,kill,Sheaf . . . tree . . . missile.,
爽,bracing,The sense of the key word is of something refreshing and invigorating. It is made up of the _St. Bernard_ and a pair of _sheaves_ on each side.,
純,genuine,Thread . . . earthworm.,
頓,immediate,Earthworm . . . head.,
鈍,dull,Metal . . . earthworm.,
辛,spicy,This character pictures food whose taste is so hot and **spicy** that it makes the hairs on your body _stand up_ as straight as _needles_.,"* As a primitive, we shall use this meaning of _spicy_ , except when the two extra strokes are added to the bottom, giving it the form of a tree. Then we take its alternate meaning of a _red pepper_ plant. The connection is obvious."
辞,resign,Tongue . . . spicy.,
梓,catalpa,Tree . . . spicy.,
宰,superintend,House . . . spicy.,
壁,wall,Ketchup . . . ground.,
璧,holed gem,"The **holed gem** to which this kanji refers is a flat, circular object of about a foot in length, made of stone or glass and having a large hole in the middle. It's elements: _ketchup_ . . . _ball_.",
避,evade,Ketchup . . . road.,
新,new,Red pepper . . . ax.,
薪,firewood,Flowers . . . new.,
親,parent,Red pepper . . . see.,
幸,happiness,"Simply by turning the dot at the top of the primitive for _spicy_ into a cross shape, we move from things bitter and _spicy_ to things **happy**.",
執,tenacious,Happiness . . . fat man.,
摯,clasp,"Of the many and widely different meanings of this kanji, we select the verbal meaning of **clasp** , which fits in well with its primitive elements: _tenacious_ . . . _hand_.",
報,report,_Happiness_ . . . _stamp_ . . . _crotch_. Compare frame 1501.,
叫,shout,Mouth . . . cornucopia.,
糾,twist,Thread . . . cornucopia.,
収,income,_Cornucopia_ . . . _crotch_. Keep distinct from both _fare_ (Frame 1079) and _salary_ (Frame 1449).,
卑,lowly,A drop of . . . brains . . . cornucopia.,
碑,tombstone,Rock . . . lowly.,
陸,land,"The sense of **land** carried by this kanji is distinct from _soil_ (Frame 161) and _ground_ (Frame 554) in that it is meant to represent **land** seen from a distance, that is, _land_ as opposed to  ""water."" Its elements: _pinnacle_ . . . _rice seedlings_ . . . _ground_.",
睦,intimate,Eye . . . rice seedlings . . . ground.,
勢,forces,Rice seedlings . . ground . . . fat man . . . muscle.,
熱,heat,Rice seedlings . . . ground . . . fat man . . . oven fire.,
菱,diamond,"Named after a **diamond** -shaped flower (the water caltrop), this key word refers to things shaped like a **diamond**. Its elements: _flower_ . . . _rice seedlings_ . . . _walking legs_.",
陵,mausoleum,Pinnacle . . . rice seedlings . . . walking legs.,
亥,sign of the hog,This kanji is the 12th sign of the Chinese zodiac: the **sign of the hog**. It is best learned by thinking of an acorn-eating **hog** in connection with the primitive meaning given below.,"* The _top hat_ represents the external shape of the _acorn_ , and the unusual but easily written complex of strokes beneath it (which you might also see as distortions of an _elbow_ and _person_ ) stands for the mysterious secret whereby the _acorn_ contains the oak tree in a nutshell."
核,nucleus,Tree . . . acorn.,
刻,engrave,Acorn . . . saber.,
該,above-stated,Words . . . acorn.,
骸,remains,Skeleton . . . acorn.,
劾,censure,Acorn . . . muscle.,
述,mention,Resin . . . road.,
術,art,Boulevard . . . resin.,
寒,cold,House . . . celery . . . animal legs . . . ice.,
塞,block up,House . . . celery . . . animal legs . . . soil.,
醸,brew,Whiskey bottle . . . grass skirt.,
譲,defer,Words . . . grass skirt.,
壌,lot,_Ground_ . . . _grass skirt_. The **lot** of this key word refers to a portion of land.,
嬢,lass,Woman . . . grass skirt.,
毒,poison,Grow up . . . breasts.,
素,elementary,Grow up . . . thread.,
麦,barley,Grow up . . . walking legs.,
青,blue,Grow up . . . moon.,
精,refined,Rice . . . blue.,
請,solicit,Words . . . blue.,
情,feelings,_State of mind_ . . . _blue_. Do not confuse with _emotion_ (Frame 662).,
晴,clear up,"Take the key word in its associations with the weather (unless that tempts you to include the primitive for _weather_ , which doesn't belong here). Its elements: _sun_ . . . _blue_.",
清,pure,Water . . . blue.,
静,quiet,_Blue_ . . . _contend_. Do not confuse with _calm_ (Frame 1230).,
責,blame,Grow up . . . oyster.,
績,exploits,Thread . . . blame.,
積,volume,"_Wheat_ . . . _blame_. This key word has to do with measurement, and should be kept distinct from the kanji for _quantity_ (Frame 189) - even though the meanings are similar.",
債,bond,_Person_ . . . _blame_. The key word refers to financial **bonds**.,
漬,pickling,Water . . . blame.,
表,surface,"_Grow up_ . . . _rags_. This character represents the  ""outside"" of a garment, just as the kanji for _back_ (Frame 426) depicted the  ""inside"" or lining.",
俵,bag,Keep this kanji distinct from that for _sack_ (Frame 1081). Its elements are: _person_ . . . _surface_.,
潔,undefiled,_Water_ . . . _grow up_ . . . _dagger_ . . . _thread_. Do not confuse with _upright_ (Frame 58).,
契,pledge,_Grow up_ . . . _dagger_ . . . _St. Bernard dog_. The connotation of this character should be kept distinct from that for _vow_ (Frame 1214) and _promise_ (Frame 1462).,
喫,consume,Mouth . . . pledge.,
害,harm,House . . . grow up . . . mouth.,
轄,control,"_Car_ . . . _harm_. Hint: the image of an auto going  ""out of **control** "" may help keep this key word distinct from others like it, such as _manipulate_ (Frame 864).",
割,proportion,Harm . . . saber.,
憲,constitution,The key word refers to the fundamental guiding principles of a government or other organization. Its elements: _House_ . . . _grow up_ . . . _eyes_ . . . _heart_.,
生,life,A single _drop_ added to the element for _grow up_ gives us the character for **life**.,"* As a primitive, we may think of a microscopic cell, that miraculous unit that grows up to become a living being."
星,star,Sun . . . cell.,
醒,awakening,Whisky bottle . . . star.,
姓,surname,Woman . . . cell.,
性,sex,State of mind . . . cell.,
牲,animal sacrifice,Cow . . . cell.,
産,products,Vase . . . cliff . . . cell.,
隆,hump,"This character, used for everything from little **humps** of hills to camel **humps** , easily suggests the hunch on the pig's back and hind parts where the best cuts of meat are to be found (and hence the English expression for luxury, ""living high off the hog."") The elements we have to work with are: _pinnacle_ . . . _walking legs_ . . . _cell_.",
峰,summit,Mountain . . . walking legs . . . bushes.,
蜂,bee,Insect . . . walking legs . . . bushes.,
縫,sew,Thread . . . walking legs . . . bushes . . . road.,
拝,worship,_Fingers_ . . . _bush_ . . . suspended from the _ceiling_.,
寿,longevity,Bushes . . . glue.,
鋳,casting,"_Metal_ . . . _longevity_. As you probably guessed from the elements, the key word refers to the **casting** of metals.",
籍,enroll,Bamboo . . . Christmas tree . . . once upon a time.,
春,springtime,Bonsai . . . sun.,
椿,camellia,Tree . . . springtime.,
泰,peaceful,Bonsai . . . rice grains.,
奏,play music,Bonsai . . . heavens.,
実,reality,House . . . bonsai.,
奉,dedicate,"_Bonsai_ . . . _cornstalk_. Use a ritualistic, religious meaning.",
俸,stipend,Person . . . dedicate.,
棒,rod,Tree . . . dedicate.,
謹,discreet,Words . . . cabbage.,
僅,trifle,Person . . . cabbage.,
勤,diligence,Cabbage . . . muscle.,
漢,Sino-,"_Water_ . . . _scarecrow_. The key word has come to refer to things Chinese in general, including the kanji themselves (for which this character is used).",
嘆,sigh,Mouth . . . scarecrow.,
難,difficult,Scarecrow . . . turkey.,
華,splendor,Flower . . . silage . . . needle.,
垂,droop,_A drop of_ . . . _silage_ . . . _walking stick_ . . . _floor_. The character is written in the order of its elements.,
唾,saliva,Mouth . . . droop.,
睡,drowsy,Eyes . . . droop.,
錘,spindle,Metal . . . droop.,
乗,ride,"The simplest way to remember this character is to find the sprig of _wheat_ in it, hidden because it doubles up with one stroke of _silage_.",
剰,surplus,Ride . . . saber.,
今,now,"The final stroke of this kanji is a rare shape, which we have not met before and will only meet in this character and others that include it as a primitive. We are more accustomed to seeing it straightened out as part of other shapes - for instance, as the second stroke of _mouth_. If you need any help at all with this character, you may picture it as two hands of a clock pointing to what time it is **now**. The element above it, _meeting_ , should easily relate to that image.","* We shall use _clock_ as the primitive meaning of this character, in line with the above explanation."
含,include,Clock . . . mouth.,
貪,covet,Clock . . . shellfish.,
吟,versify,"As we have already learned characters for _poem_ (Frame 370), _chant_ (Frame 21), and _song_ (Frame 508), it is important to protect this key word with an image all its own. Its elements are the same as those above, only the position has changed: _mouth_ . . . _clock_.",
念,wish,Clock . . . heart.,
捻,wrench,This kanji does not refer to the tool but to the act of twisting. Its elements: _fingers_ . . . _wish._,
琴,harp,A pair of _jewels_ . . . _clock_.,
陰,shade,"Just as the _sunshine_ (Frame 1397) represents the masculine principle in nature (Yang), the **shade** stands for the feminine principle (Yin). Its elements are: _pinnacle_ . . . _clock_ . . . _rising cloud_.",
予,beforehand,Think of this character as identical to the _halberd_ (Frame 1311) except that the final stroke has been omitted. Return to that character and devise some image to take this difference into account.,
序,preface,Cave . . . beforehand.,
預,deposit,Beforehand . . . head.,
野,plains,"This character refers to rustic life and rustic fields primarily, and from there gets derived meanings. Its elements: _computer_. . _beforehand_.",
兼,concurrently,"At the top we have _the animal horns_ and the single horizontal stroke to give them something to hang onto. Below that, we see one _rake_ with two handles. Finally, we see a pair of strokes splitting away from each of the handles, indicating that they are both splitting under the pressure. The composite picture is of someone holding down two jobs **concurrently** , using the same kit of tools to move in two different directions and ending up in a mess. Take the time to find this sense in the kanji and it will be easy to remember, despite initial appearances.",
嫌,dislike,Woman . . . concurrently.,
鎌,sickle,Metal . . . concurrently.,
謙,self-effacing,Words . . . concurrently.,
廉,bargain,Cave . . . concurrently.,
西,west,"To our way of counting directions, the **west** always comes fourth. So it is convenient to find the character for _four_ in this kanji. But since we want only _one_ of the _four_ directions, the **west** adds the _one_ at the top and sucks the _human legs_ a bit out of their _mouth_ in the process.","* As a primitive, the meaning of _west_ can be expanded to refer to the _Old West_ of cowboy-movie fame, just as the meaning of the character for _east_ was expanded into _the East_. Note, however, that in its primitive form the _legs_ are straightened out and reach down to the bottom of the _mouth_. Hence, we get the shape ⻃. With the exception of one kanji, given in the following frame, this element always appears at the top of its relative primitives."
価,value,Person . . . Old West.,
要,need,Old West . . . woman.,
腰,loins,Part of the body . . . need.,
票,ballot,Old West . . . altar.,
漂,drift,Water . . . ballot.,
標,signpost,Tree . . . ballot.,
栗,chestnut,Old West . . . tree.,
慄,shudder,State of mind . . . chestnut.,
遷,transition,West . . . St. Bernard dog . . . snake . . . road.,
覆,capsize,West . . . restore.,
煙,smoke,Hearth . . . Old West . . . ground.,
南,south,_Belt_ . . . _happiness_. Note how the _belt_ runs through the middle of _happiness_.,
楠,camphor tree,Tree . . . south.,
献,offering,South . . . chihuahua.,
門,gates,"The pictograph of two swinging **gates** is so clear in this kanji that only its stroke order needs to be memorized. In case you should have any trouble, though, you might doodle with the shapes on a piece of paper, taking care to note the difference in the stroke order of the two facing doors. The **gates** usually serve as an enclosure, and are written BEFORE whatever it is they enclose.","* As a primitive, we shall continue to give it the meaning of _gates_ , but recommend the image of swinging doors (like the kind once common at entrances to saloons) to distinguish it from the primitive for _door_."
問,question,Gates . . . mouth.,
閲,review,"_Gates_ . . . _devil_. Keep the connotation of this key word distinct from those of _inspection_ (Frame 1174), _revise_ (Frame 362), and _perusal_ (Frame 919).",
閥,clique,Gates . . . fell.,
間,interval,"_Gates_ . . . _sun/day_. This **interval** applies to time and space alike, but the latter is better for creating an image.",
闇,pitch dark,Gates . . . sound.,
簡,simplicity,Bamboo . . . interval.,
開,open,Gates . . . two hands.,
閉,closed,Gates . . . genie.,
閣,tower,Gates . . . each.,
閑,leisure,Gates . . . tree.,
聞,hear,_Gates_ . . . _ear_. Compare the story you invented for the kanji meaning _listen_ (Frame 890).,
潤,wet,Water . . . gates . . . king.,
欄,column,Tree . . . gates . . . east.,
闘,fight,_Gates_ . . . _table_ . . . _glue_. Do not confuse with _contend_ (Frame 1238).,
倉,godown,"The single _gate_ is used here not in order to represent one _gate_ , but many of them, indeed a _meeting of gates_. Add _mouth_ (as an entrance here) and you end up with **godown**. That should help keep this character distinct from _warehouse_ (Frame 633).",
創,genesis,Godown . . . saber.,
非,un-,"This key word, a negating prefix, is a doodle of a heavy iron pole with bars extending in both directions, to create the picture of a jail cell. From there to "" **un-** "" is but a short step.","* As a primitive, we shall draw on the explanation above for the meaning of _jail cell_."
俳,haiku,"This character is used for the **haiku** , the 17-syllable poem that is one of Japan's best-known literary forms. Its elements: _person_ .. . _jail cell_.",
排,repudiate,Fingers . . . jail cell.,
悲,sad,Jail cell . . . heart.,
罪,guilt,Eye . . . jail cell.,
輩,comrade,Jail cell . . . car.,
扉,front door,Door . . . jail cell.,
侯,marquis,_Person_ . . . _key_ . . . _dart_. Hint: the pun suggested by the pronunciation of the key word and the primitive for _key_ may come in helpful.,
喉,throat,Mouth . . . marquis.,
候,climate,_Marquis_ . . . _walking stick_. Note where the _walking stick_ is positioned in this kanji.,
決,decide,"The etymology of **decide** (de-cidere = cut off) will help here, the elements are: _water_ . . . _guillotine_.",
快,cheerful,State of mind . . . guillotine.,
偉,admirable,Person . . . locket.,
違,difference,Locket . . . road.,
緯,horizontal,Thread . . . locket.,
衛,defense,"_Boulevard_ . . . _locket_. Do not confuse with _ward off_ (Frame 1399), _protect_ (Frame 1072), _guard_ (Frame 198), or _safeguard_ (Frame 756).",
韓,Korea,"As with _Italy_ (Frame 1245) and _Africa_ (Frame 1391), this character simply abbreviates the full name of _Korea_. Its elements: _mist_ . . . _locket_.",
干,dry,It is best to see this kanji as a pictograph of a revolving circular clothesline (viewed from the side). Spin it around quickly in your mind's eye to give it the connotation of to **dry**.,* The primitive meaning is _clothesline_.
肝,liver,Part of the body . . . dry.,
刊,publish,Dry . . . saber.,
汗,sweat,Water . . . dry.,
軒,flats,"This kanji, a counter for houses, is made up of _cars_ . . . _dry_.",
岸,beach,Mountain . . . cliff . . . dry.,
幹,tree trunk,"_Mist_ . . . _umbrella_ . . . _dry_. The meaning of this key word extends beyond **tree trunks** to represent the main stem or line of anything from railway lines to managerial staffs. This should help distinguish it from the stories used earlier for _book_ (Frame 224) and _body_ (Frame 1030), both of which made use of the image of a **tree trunk** , as well as the kanji for _trunk_ (Frame 194).",
芋,potato,Flowers . . . potato.,
宇,eaves,House . . . potato.,
余,too much,_Umbrella_ . . . _potato_ . . . _little_. The last stroke of _potato_ and the first of _little_ coincide in this character.,"* Since the phrase "" _too much_ "" is overly abstract, we shall take the image of a _scale_ whose indicator spins round and round on the dial because _too much_ weight has been set on it. It will help to use this image in learning the kanji itself."
除,exclude,Pinnacle . . . scale.,
徐,gradually,Line . . . scale.,
叙,confer,"_Scale_ . . _crotch_. The key word has to do with **conferring** ranks, titles, and awards. It should not be confused with _bestow_ (Frame 1335) or _impart_ (Frame 795).",
途,route,Scale . . . road.,
斜,diagonal,Scale . . . measuring cup.,
塗,paint,Water . . . scale . . . ground.,
束,bundle,"In the same way that we were able to see the _sun_ in the _tree_ within the kanji for _east_ , here we see a square container in the shape of a _mouth_.",
頼,trust,Bundle . . . head.,
瀬,rapids,Water . . . bundle . . . head.,
勅,imperial order,"In order to keep this character distinct from that for an _imperial edict_ (Frame 366), we must draw again on a pun. Think of the **order** here as a mail **order** or an **order** of pizza phoned in by the Emperor for delivery to the **imperial** palace. Then it will not be hard to put together _bundle_ and _muscle_ to form a story about an **imperial order**.",
疎,alienate,_Zoo_ . . . _bundle_. Note that the element for _zoo_ is flattened out on the left just as _leg_ (Frame 1372) had been. This is the only time we will meet this form in this book.,
辣,bitter,Spicy . . . bundle.,
速,quick,Bundle . . . road.,
整,organize,Bundle . . . taskmaster . . . correct.,
剣,saber,"_Awl_ . . . _saber_. As we promised way back in frame 87, here at last is the kanji on which the primitive element of the same name is based.",
険,precipitous,Pinnacle . . . awl.,
検,examination,Tree . . . awl.,
倹,frugal,Person . . . awl.,
重,heavy,_Thousand_ . . . _ri_. Note how the long vertical stroke doubles up to serve both elements.,
動,move,Heavy . . . muscle.,
腫,tumor,Flesh . . . heavy.,
勲,meritorious deed,"_Move_ . . . _oven fire_. So as not to confuse this kanji with the general character for _merit_ (Frame 1369), you may associate the key word with military decorations and medals of distinction, both of which it is used for.",
働,work,_Person_ . . . _move_. Do not confuse with _labor_ (Frame 924).,
種,species,Wheat . . . heavy.,
衝,collide,Boulevard . . . heavy.,
薫,fragrant,_Flowers_ . . . _heavy_ . . . _oven fire_. Do not confuse with _incense_ (Frame 977) or _perfumed_ (Frame 532).,
病,ill,Sickness . . . third class.,
痴,stupid,Know . . . sickness.,
痘,pox,Sickness . . . beans.,
症,symptoms,Sickness . . . correct.,
瘍,carbuncle,Sickness . . . piggy bank.,
痩,lose weight,Sickness . . . monkey . . . crotch.,
疾,rapidly,"Be sure to keep this character distinct from _quick_ (Frame 1799) and _swift_ (Frame 298). Picture a succession of poison _darts_ (the sort that inflict _sickness_ ) flying out **rapid** -fire from a blowgun, so that "" **rapid** -fire"" can conjure up the proper image.",
嫉,envy,Woman . . . rapidly.,
痢,diarrhea,Sickness . . . profit.,
痕,scar,Sickness . . . silver.,
疲,tired,Sickness . . . pelt.,
疫,epidemic,Sickness . . . missile.,
痛,pain,Sickness . . . chop-seal . . . utilize.,
癖,mannerism,Sickness . . . ketchup.,
匿,hide,Box . . . young.,
匠,artisan,Box . . . ax.,
医,doctor,Box . . . dart.,
匹,equal,Box . . . human legs.,
区,ward,"The **ward** referred to here is a subdivision of a large city. Its elements: _box_ . . . _sheaves_. When used as a primitive element, it may be helpful at times to break it up into these same composite elements.",
枢,hinge,Tree . . . ward.,
殴,assault,Ward . . . missile.,
欧,Europe,"_Ward_ . . . _yawn_. Like the kanji of frame 1776, this character is an abbreviation of the name of a geographical region.",
抑,repress,Fingers . . . box . . . stamps.,
仰,faceup,"This character is used both for lying on one's back **faceup** , and for looking up to someone with respect and awe. Its elements: _person_ . . . _box_ . . . _stamps_.",
迎,welcome,Box . . . stamps . . . road.,
登,ascend,_Teepee_ . . . _table_. Do not confuse with _rise up_ (Frame 43).,
澄,lucidity,Water . . . ascend.,
発,discharge,"This key word refers to the **discharging** of guns, trains, people, and even words. The elements: _teepee_ . . . _two_ . . . _human legs_. Contrast the writing with frame 63.",
廃,abolish,Cave . . . discharge.,
僚,colleague,"_Person_ . . . _pup tent_. Choose some connotation of the key word that will keep it distinct for you from _companion_ (Frame 19), _friend_ (Frame 760), _consort_ (Frame 1287), and _comrade_ (Frame 1765).",
瞭,obvious,Eye . . . pup tent.,
寮,dormitory,House . . . pup tent.,
療,heal,Sickness . . . pup tent.,
彫,carve,"The two primitives here, _circumference_ and _shape_ , belong naturally to the special connotations that differentiate **carving** from _engraving_ (see frame 1639).",
形,shape,Two hands . . . shape.,
影,shadow,Scenery . . . shape.,
杉,cedar,Tree . . . shape.,
彩,coloring,Vulture . . . tree . . . shape.,
彰,patent,"_Badge_ . . . _shape_. The key word is synonymous with  ""clear"" or ""openly expressed.""",
彦,lad,Vase . . . cliff . . . shape.,
顔,face,Lad . . . head.,
須,ought,"_Shape_ . . . _head_. This is the only time that _shape_ is placed to the left of its relative element, the _head_.",
膨,swell,_Part of the body_ . . . _drum_ . . . _shape_. Compare _expand_ (Frame 1199).,
参,visit,Elbow . . . St. Bernard dog . . . shape.,
惨,wretched,A state of mind . . . visit.,
